what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253055348125
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1253055349156
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055349328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1253055355031
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055365406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253055365890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253055366312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253055366812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253055368843
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055370281
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055373921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253055374281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253055375031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253055375515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253055395187
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055396640
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055398015
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055399125
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055399734
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055400890
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055401500
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055410125
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253055411109
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1253055426078
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1253055427703
