what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966327953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966328468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966328937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966330781
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252966331890
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966332046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252966343015
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966344453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966345546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966351281
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966353187
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252966368406
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966369640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966370484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966377343
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966379015
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252966386640
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252966419250
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252966436921
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252966440296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966444203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966451375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966452562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966470062
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966471484
