what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252947328484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252947328968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252947329953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252947331562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252947332531
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252947340171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252947340734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252947437828
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1252947457578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252947461703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252947463343
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252947470140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252947471312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252947472109
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252947492250
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252947496078
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1252947513328
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252947514156
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1252947515890
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252947522843
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252947532062
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textEnd,1252947537046
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1252947540640
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1252947542171
executed,command,org.python.pydev,1.4.6.2788,org.python.pydev.editor.actions.togglecomment,1252947543921
