what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713107718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713108156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713108515
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254713111265
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254713112140
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254713112937
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254713113718
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254713114531
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254713114875
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254713126828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713127484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713127765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713128312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713157093
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254713158421
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254713159062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713165484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713168734
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254713169718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1254713183937
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1254713184812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713185531
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713189406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713190078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254713197062
