what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252890670234
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252890670406
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252890675265
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252890676515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252890677593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252890678140
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252890679656
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252890679812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1252890693312
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1252890693968
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1252890695312
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252890712640
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252890728531
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1252890730796
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1252890731562
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252890733531
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252890767703
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1252890769281
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252890770515
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1252890773000
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252890784031
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252890785453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252890786296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252890786828
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252890788093
