what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1253033626656
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033628812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033629718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033630421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033630890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033672109
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033673921
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033676140
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253033716921
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033718859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033719937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033741671
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033742562
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033743125
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253033809109
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033814328
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033815046
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033817093
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033819640
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033828140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033828781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033829250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033829734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033850703
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253033852000
