what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712812453
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712813031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254712814500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254712815390
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712816140
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712816921
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712817890
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712818984
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712819890
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712822859
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712823515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254712827250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254712930875
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712932031
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712932671
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712933656
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712934593
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712935578
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1254712940437
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1254712945500
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712946562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254712948156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254712950562
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1254712952015
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254712952171
