what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179520562
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179522656
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179538937
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179540359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1252179553218
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1252179558500
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179561593
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179563750
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252179572640
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179574000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179575093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179575640
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252179577125
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179577250
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252179588140
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179592171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179593046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179593562
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252179595421
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179595546
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179600640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179601078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179601984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179602468
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179603000
