what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1252905175203
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1252905178296
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252905179062
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252905180250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252905181218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252905181765
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252905182781
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252905183734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252905184562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252905184562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252905184562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252905197640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252905198187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252905199843
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1252905206093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252905208937
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252905211140
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1252905226328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252905236625
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1252905240750
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252905245562
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252905246937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252905247828
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252905260265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252905262312
