what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1252360395859
executed,command,org.python.pydev,1.4.6.2788,org.python.pydev.editor.actions.addBlockComment,1252360403265
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1252360406187
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1252360406328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1252360406515
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1252360411984
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252360416171
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252360438625
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252360455687
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252360457343
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252360470500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252360471171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252360471921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252360472421
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252360586265
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252360587296
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1252360596062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252360597328
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252360614703
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252360614718
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252360616281
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252360618109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252360618578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252360619296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252360619796
