what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1252883248984
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252883250031
executed,command,,,AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction,1252883251843
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252883252875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883253812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883254171
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252883255656
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252883256062
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252883261687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883262078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883262812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883263296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883263656
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252883265390
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252883265546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883266281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883280531
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252883286500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883287062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883287562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883288453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252883289734
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252883290937
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252883293171
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252883294343
