what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966014656
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252966016468
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966016609
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966022343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966022765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966023531
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252966025375
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966025515
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966028328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966028765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966029500
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252966030968
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966031109
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966033500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966033937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966034265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966034765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966035484
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252966036734
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966036875
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252966070484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966071125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966071671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966072203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252966075546
