what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253045601796
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253045622468
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253045623781
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045625109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045626468
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045632015
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045632937
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045633671
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045634843
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045649625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045650921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045651609
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045652078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045707046
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045708437
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045710000
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045716640
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045717718
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045718671
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045719484
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045720187
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045724078
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045733125
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045733578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045734046
