what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252882596125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252882597078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252882597562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252882650875
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882655093
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882666015
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882666921
closed,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882666921
started,bundle,org.python.pydev.customizations,1.4.6.2788,org.python.pydev.customizations,1252882672578
activated,view,org.python.pydev,1.4.6.2788,org.python.pydev.navigator.view,1252882672578
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882673812
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882673937
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882681015
closed,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882681015
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882682843
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882682906
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882683531
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882684609
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882685546
closed,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882685546
activated,view,org.python.pydev,1.4.6.2788,org.python.pydev.navigator.view,1252882687500
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882687796
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252882687906
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252882743187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252882750953
