what,kind,bundleId,bundleVersion,description,time
started,bundle,org.python.pydev,1.4.6.2788,org.python.pydev,1254606221968
started,bundle,org.python.pydev.core,1.4.6.2788,org.python.pydev.core,1254606221968
started,bundle,org.python.pydev.debug,1.4.6.2788,org.python.pydev.debug,1254606221968
started,bundle,org.python.pydev.jython,1.4.6.2788,org.python.pydev.jython,1254606221968
started,bundle,org.python.pydev.parser,1.4.6.2788,org.python.pydev.parser,1254606221968
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606229234
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606229343
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606231093
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606232250
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606232312
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606241437
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606241531
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606251906
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606252000
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606253375
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606253453
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606254484
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606265328
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606266203
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606267640
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606270546
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606270593
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254606283796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254606284515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254606285609
