what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045405343
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045406796
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253045442765
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045444390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045445484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045447531
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1253045448546
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045448703
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253045462531
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045464359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045465453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045468234
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1253045469156
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045469312
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1253045474265
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045475875
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045480000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045480734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045481343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045481875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253045495046
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045497765
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045499015
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045503796
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253045505062
