what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254720290437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720293156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720298406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720302812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720304093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720304546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720311718
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1254720317390
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1254720318796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720319062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720387578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720388140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720389078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720390406
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720392484
activated,view,org.python.pydev,1.4.6.2788,org.python.pydev.navigator.view,1254720398531
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254720399859
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254720399968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720411453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254720449703
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254720451281
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254720460140
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254720460203
activated,view,org.python.pydev,1.4.6.2788,org.python.pydev.navigator.view,1254720473734
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254720474000
