what,kind,bundleId,bundleVersion,description,time
started,bundle,org.python.pydev.core,1.4.6.2788,org.python.pydev.core,1254636485343
started,bundle,org.python.pydev.debug,1.4.6.2788,org.python.pydev.debug,1254636485343
started,bundle,org.python.pydev.jython,1.4.6.2788,org.python.pydev.jython,1254636485343
started,bundle,org.python.pydev.parser,1.4.6.2788,org.python.pydev.parser,1254636485343
opened,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254637335906
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1254637336046
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1254637349546
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1254637350671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254637351890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254637351890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254637352015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638333343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638333890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638573625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638574312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638614609
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1254638632578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638632859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638635687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638636453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638700578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638701125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638703656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638704437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1254638707578
