what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252997041921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252997045343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252997054765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252997055546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252997068765
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252997070312
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252997070328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252997108984
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252997112250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252997113093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252997115781
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252997115796
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252997144062
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252997144093
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252997144750
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252997146000
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252997147781
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252997149500
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252997155812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252997168734
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252997172578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252997173359
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252997176531
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252997176546
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252997223843
