what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969046625
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252969054046
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969056843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969057640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969066906
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969067875
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969069109
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252969081390
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969082859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969083796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969090093
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969091156
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969092078
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969120093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969121187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969127484
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969128812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252969137343
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969139625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969140375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969145359
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969146281
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252969170859
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969172265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969173015
