what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1252179783671
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1252179783953
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179788390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179788765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179789437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179790015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179807640
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179809031
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179816109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179816515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179817187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179817656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179820796
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179824000
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179829671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179830046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179830687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179831187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179840250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179841796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179887656
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179889890
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252179902687
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252179904921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252179905281
