what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252860375328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252860376265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252860378843
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252860383718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252860385687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252860407578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252860421406
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1252860434312
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1252860434343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252860434375
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1252860449062
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1252860450921
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1252860451093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1252860451265
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1252860451437
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1252860451765
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1252860452359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252860452984
activated,view,org.python.pydev,1.4.6.2788,org.python.pydev.navigator.view,1252860462171
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1252860464609
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1252860464609
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252860464765
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1252860470906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252860471515
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.renameResource,1252860471546
