what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969606906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969607687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969629390
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252969631406
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969636703
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969637937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969658765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969659328
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1252969660625
activated,view,org.python.pydev,1.4.6.2788,org.python.pydev.navigator.view,1252969669843
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969670031
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252969697671
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969709468
executed,command,org.python.pydev,1.4.6.2788,org.python.pydev.editor.actions.firstChar,1252969749609
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252969750890
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969752531
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969753718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252969771546
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969773093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969773953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969782671
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969783640
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969784640
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252969788046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252969788406
