what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252994783531
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252994784968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994797515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994800093
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252994802031
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252994804343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994805000
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994806078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994806515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994811859
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252994814765
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252994815796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994816890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994822218
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252994826531
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252994841437
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252994844906
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252994845312
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252994862140
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1252994865046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1252994865406
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.redo,1252994868312
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.redo,1252994869203
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1252994871843
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1252994872187
