what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1253032477093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1253032478046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1253032480531
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253032483953
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253032488796
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253032491328
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253032492718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253032502109
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253032503562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253032504750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253032539078
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253032540906
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253032542656
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253032552046
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253032554984
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1253032560937
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1253032563453
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1253032566328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253032585828
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1253032594062
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253032595765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253032597968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253032698078
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253032700375
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1253032702031
