what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252865576968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252865577828
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252865578171
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252865579531
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252865579671
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252865591015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252865591453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252865591921
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1252865594062
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252865594218
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252865600921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252865601312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252865601640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252865602093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252865606906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252865607390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252865620140
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252865621109
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252865621875
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252865623625
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252865624093
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252865625453
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1252865647562
activated,editor,org.python.pydev,1.4.6.2788,org.python.pydev.editor.PythonEditor,1252865648781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252865649875
