what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252964654921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252964659921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252964660921
started,bundle,org.python.pydev.core,1.4.6.2788,org.python.pydev.core,1252964661187
started,bundle,org.python.pydev,1.4.6.2788,org.python.pydev,1252964661265
started,bundle,org.eclipse.ui.navigator,3.3.101.M20080827-0800,org.eclipse.ui.navigator,1252964661343
started,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1252964661578
opened,view,org.python.pydev,1.4.6.2788,org.python.pydev.navigator.view,1252964661671
activated,perspective,org.python.pydev,1.4.6.2788,org.python.pydev.ui.PythonPerspective,1252964661734
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1252964661750
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1252964661781
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1252964661781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252964665625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252964666625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252964668312
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1252964685578
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1252964685734
started,bundle,org.python.pydev.parser,1.4.6.2788,org.python.pydev.parser,1252964696781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252964702265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252964708609
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1252964715421
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252964725859
activated,view,org.python.pydev,1.4.6.2788,org.python.pydev.navigator.view,1252964742984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252965359203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252965392593
