what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994057421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994057609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994068296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994069093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994223859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994224671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994362562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994363140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994366187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994366734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994371625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994371968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994371984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252994372078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252998260859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252998261156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253030324812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253030326890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253032982406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253032983265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253032983265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253032983406
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033366546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033367437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1253033367453
